Collection,Original Name,Canonical FIN- SKU,Length,Depth,Height,Base MSRP,Base Weight
Daisy,"DAISY BASE FIRE PIT DINING TABLE 96"" x 56"" x 30""",FIN-DAI-FIR-TAB-96X56,96,56,30,"$8,800.00",
Daisy,"PROPANE FIRE PIT TABLE 56"" x 42"" x 21""",FIN-DAI-FIR-TAB-56X42,56,42,21,"$6,200.00",
Daisy,"PROPANE FIRE PIT TABLE 42"" x 42"" x 21""",FIN-DAI-FIR-TAB-42X42,42,42,21,"$4,800.00",
Waterfall,"WATERFALL FIRE PIT TABLE 56"" x 36"" x 16""",FIN-WFT-FIR-TAB-56X36,56,36,16,"$5,980.00",
Waterfall,"WATERFALL FIRE PIT TABLE 72"" x 36"" x 16""",FIN-WFT-FIR-TAB-72X36,72,36,16,"$6,980.00",
Waterfall,"CUBE FIRE PIT TABLE 56"" X 36"" X 16""",FIN-WFT-FIR-TAB-56X36,56,36,16,"$7,200",
Waterfall,"CUBE FIRE PIT TABLE 72"" X 36"" X 16""",FIN-WFT-FIR-TAB-72X36,72,36,16,"$8,800",
Waterfall,"FLY LEG BENCH (BAR HEIGHT) 42"" x 18"" x 30"" SH",FIN-WFT-BCH-42X18,42,18,30,"$1,440.00",
Waterfall,"FLY LEG BENCH (COUNTER HEIGHT) 42"" x 18"" x 24"" SH",FIN-WFT-BCH-42X18,42,18,24,"$1,380.00",
Waterfall,"HALF BACK CHAIR (DINING HEIGHT) 17"" x 21"" x 18"" SH",FIN-WFT-DIN-CHA-17X21,17,21,18,$770.00,
Taylor,"TAYLOR BARSTOOL w/ARMS (COUNTER HEIGHT) 24"" x 23"" x 24"" SH",FIN-TAY-BST-24X23,24,23,24,$925.00,
Taylor,"TAYLOR BENCH (BAR HEIGHT) 24"" x 23"" x 42"" SH",FIN-TAY-BCH-24X23,24,23,42,"$1,980.00",
Taylor,"TAYLOR BENCH (BAR HEIGHT) 72"" x 23"" x 30"" SH",FIN-TAY-BCH-72X23,72,23,30,"$2,580.00",
Taylor,"TAYLOR BENCH (COUNTER HEIGHT) 42"" x 23"" x 24"" SH",FIN-TAY-BCH-42X23,42,23,24,"$1,860.00",
Taylor,"TAYLOR BENCH (COUNTER HEIGHT) 72"" x 23"" x 24"" SH",FIN-TAY-BCH-72X23,72,23,24,"$2,460.00",
Taylor,"TAYLOR BENCH (DINING HEIGHT) 42"" x 23"" x 18"" SH",FIN-TAY-BCH-42X23,42,23,18,"$1,740.00",
Taylor,"TAYLOR BENCH (DINING HEIGHT) 72"" x 23"" x 18"" SH",FIN-TAY-BCH-72X23,72,23,18,"$2,340.00",
Bravada,"BRAVADA ROUNDED BENCH 96"" X 34"" X 18"" SH",FIN-BRV-BCH-96X34,96,34,18,"$2,900.00",
Bravada,"BRAVADA ROUNDED BACKED BENCH 96"" X 34"" X 18"" SH",FIN-BRV-BCH-96X34,96,34,18,"$3,400",
Bravada,"BRAVADA OTTOMAN 34"" x 34"" x 16""",FIN-BRV-OTT-34X34,34,34,16,"$1,060.00",
Bravada,"BRAVADA OTTOMAN 34"" x 42"" x 16""",FIN-BRV-OTT-34X42,34,42,16,"$1,260.00",
Bravada,"BRAVADA OTTOMAN 34"" x 60"" x 16""",FIN-BRV-OTT-34X60,34,60,16,"$1,500.00",
Bravada,"BRAVADA OTTOMAN 34"" x 72"" x 16""",FIN-BRV-OTT-34X72,34,72,16,"$1,700.00",
Brooklyn,"BROOKLYN OTTOMAN 22"" x 42"" x 17""",FIN-BRK-OTT-22X42,22,42,17,$935.00,
Brooklyn,"BROOKLYN OTTOMAN 22"" x 60"" x 17""",FIN-BRK-OTT-22X60,22,60,17,"$1,080.00",
Brooklyn,"BROOKLYN OTTOMAN 22"" x 72"" x 17""",FIN-BRK-OTT-22X72,22,72,17,"$1,300.00",
Brooklyn,"BROOKLYN OTTOMAN 34"" x 34"" x 17""",FIN-BRK-OTT-34X34,34,34,17,"$1,180.00",
Brooklyn,"BROOKLYN OTTOMAN 34"" x 42"" x 17""",FIN-BRK-OTT-34X42,34,42,17,"$1,380.00",
Brooklyn,"BROOKLYN OTTOMAN 34"" x 60"" x 17""",FIN-BRK-OTT-34X60,34,60,17,"$1,650.00",
Brooklyn,"BROOKLYN OTTOMAN 34"" x 72"" x 17""",FIN-BRK-OTT-34X72,34,72,17,"$1,900.00",
Brooklyn,"BROOKLYN OTTOMAN 56"" x 42"" x 17""",FIN-BRK-OTT-56X42,56,42,17,"$1,740.00",
Ocean,"OCEAN OTTOMAN 42"" x 22"" x 16""",FIN-OCN-OTT-42X22,42,22,16,"$1,080.00",
Ocean,"OCEAN OTTOMAN 60"" x 22"" x 16""",FIN-OCN-OTT-60X22,60,22,16,"$1,280.00",
Ocean,"OCEAN OTTOMAN 72"" x 22"" x 16""",FIN-OCN-OTT-72X22,72,22,16,"$1,480.00",
Miscellaneous,"CUBE OTTOMAN 22"" x 22"" x 16""",FIN-MIS-OTT-22X22,22,22,16,$650.00,
Miscellaneous,"CUSTOM STORAGE OTTOMAN 22"" x 72"" x 23""",FIN-CUS-OTT-22X72,22,72,23,"$1,950.00",
Bravada,"BRAVADA SWING 66"" x 42"" w/FRAME x 84""",FIN-BRV-SWG-66X42,66,42,84'',"$7,280.00",
Bravada,"BRAVADA SWING FRAME ONLY 66-72"" x 42"" x 84""",FIN-BRV-SWG-72X42,72,42,84,"$3,200.00",
Bravada,"BRAVADA SWING FRAME ONLY 84""+ Thicker Gauge",FIN-BRV-SWG-84,,,,"$4,200.00",
Bravada,"BRAVADA SWING 72"" x 42"" w/FRAME",FIN-BRV-SWG-72X42,72,42,"84""","$8,240.00",
Bravada,"BRAVADA SWING 84"" x 42"" x 23"" BH",FIN-BRV-SWG-84X42,84,42,23,"$4,900.00",
Cabana,"CABANA DAYBED 84"" x 84"" x 78""",FIN-CAB-DYB-84X84,84,84,78,"$7,980.00",
Cabana,CABANA 10' X 10' X 9' w/Sunbrella Top & Curtains,FIN-CAB-MIS-10X10,10,10,,"$14,000",
Cabana,LUMBAR PILLOW (alt size),FIN-CAB-MIS,,,,$120.00,
Flexy,FLEXY TWIN NO BASE,FIN-ESY-MIS,,,,"$8,500.00",
Flexy,FLEXY TWIN BASE,FIN-ESY-MIS,,,,"$2,100.00",
Flexy,FLEXY ZEN COVER,FIN-ESY-MIS,,,,$450.00,
Flexy,"FLEXY ZEN SHADE SYSTEM, NO BASE",FIN-ESY-MIS,,,,"$11,750.00",
Flexy,FLEXY ZEN SHADE SYSTEM BASES,FIN-ESY-MIS,,,,"$7,000.00",
Flexy,ADD IRONWOOD (2 ARMS),FIN-ESY-MIS,,,,$200.00,
Tenjam,PILLOW FOR LOUNGERS W/POCKET,FIN-TJM-MIS,,,,$154.99,
Tenjam,ONE 4 LB. COATED LEAD WEIGHT,FIN-TJM-MIS,,,,$59.99,
Tenjam,TWO 4 LB. COATED LEAD WEIGHTS (8 LBS. TOTAL),FIN-TJM-MIS,,,,$94.99,
Tenjam,"TWO SHAYZ LOUNGERS & TWO SETS OF 4"" RISERS, FOR 9"" DEPTH",FIN-TJM-MIS,,,,"$1,749.99",
Tenjam,"TWO SHAYZ LOUNGERS & TWO SETS OF 8"" RISERS, FOR 13"" DEPTH",FIN-TJM-MIS-13,,,,"$1,849.99",
Tenjam,"TWO SHAYZ LOUNGERS & TWO SETS OF 12"" RISERS FOR 17"" DEPTH",FIN-TJM-MIS-12X17,,,,"$1,849.99",
Tenjam,MIBSTER CHAIR W/CUP HOLDERS,FIN-TJM-CHA,,,,$749.99,
Marina,MARINA 2x2 UMBRELLA NO BASE,FIN-MLN-UMB,,,,$700.00,
Marina,MARINA UMBRELLA COVER,FIN-MLN-UMB,,,,$100.00,
Marina,"OCCASIONAL TABLE 56""x14""x36""",FIN-MLN-TAB-56X14,56,14,36,"$3,080.00",
Marina,FABRICATED DEKTON SLAB,FIN-MLN-MIS,,,,"$4,000.00",
Marina,CANTILEVER UMBRELLA COVER,FIN-MLN-UMB,,,,$150.00,
Miscellaneous,"CUSTOM STORAGE OTTOMAN 23"" x 82""",FIN-CUS-OTT-23X82,23,82,,"$2,150.00",
Flexy,FLEXY ZEN TWIN BASE,FIN-ESY-MIS,,,,$500.00,
Flexy,FLEXY ZEN BASE,FIN-ESY-MIS,,,,,
Flexy,UNFABRICATED DEKTON SLAB,FIN-ESY-MIS,,,,"$2,500.00",
Flexy,WEATHERPROOF COVERS,FIN-ESY-MIS,,,,,
Flexy,ADD-ON WHEELS FOR CHAISE LOUNGERS,FIN-ESY-CHS,,,,$200,
